match_id,date,tournament,tournament_tier,hunter_player,survivor1_player,survivor2_player,survivor3_player,survivor4_player,map_name,n_escaped,hunter_wins,source_file,source_row
75,2020-07-04,IVL_2020_summer_regular,IVL,xawm,yjj,billy,tea,sxy,"圣心医院",3,0,IVL_COA_2020-2024.json,21
76,2020-07-04,IVL_2020_summer_regular,IVL,afu,zzai,445,kucao,zb,"圣心医院",3,0,IVL_COA_2020-2024.json,21
77,2020-07-04,IVL_2020_summer_regular,IVL,ppxia,yjj,billy,tea,sxy,"军工厂",3,0,IVL_COA_2020-2024.json,21
78,2020-07-04,IVL_2020_summer_regular,IVL,afu,zzai,445,kucao,zb,"军工厂",2,,IVL_COA_2020-2024.json,21
79,2020-07-05,IVL_2020_summer_regular,IVL,jiu9,shy,long,mk,ak,"永眠镇",0,1,IVL_COA_2020-2024.json,22
80,2020-07-05,IVL_2020_summer_regular,IVL,ken,lion,wy,487,jelly,"永眠镇",2,,IVL_COA_2020-2024.json,22
81,2020-07-05,IVL_2020_summer_regular,IVL,jue,iron,long,mk,ak,"红教堂",2,,IVL_COA_2020-2024.json,22
82,2020-07-05,IVL_2020_summer_regular,IVL,ymm,lion,wy,487,jelly,"红教堂",2,,IVL_COA_2020-2024.json,22
83,2020-07-05,IVL_2020_summer_regular,IVL,ken,lion,wy,487,jelly,"月亮河公园",4,0,IVL_COA_2020-2024.json,22
84,2020-07-05,IVL_2020_summer_regular,IVL,jue,iron,long,mk,ak,"月亮河公园",3,0,IVL_COA_2020-2024.json,22
85,2020-07-05,IVL_2020_summer_regular,IVL,yan,maozi,f,lpz,xmm,"红教堂",2,,IVL_COA_2020-2024.json,23
86,2020-07-05,IVL_2020_summer_regular,IVL,ppx,bbe,youzi,xiaoci,bobo,"红教堂",2,,IVL_COA_2020-2024.json,23
87,2020-07-05,IVL_2020_summer_regular,IVL,yan,maozi,f,lpz,xmm,"红教堂",3,0,IVL_COA_2020-2024.json,23
88,2020-07-05,IVL_2020_summer_regular,IVL,ppx,bbe,youzi,xiaoci,bobo,"红教堂",2,,IVL_COA_2020-2024.json,23
89,2020-07-05,IVL_2020_summer_regular,IVL,ppx,bbe,youzi,xiaoci,bobo,"月亮河公园",2,,IVL_COA_2020-2024.json,23
90,2020-07-05,IVL_2020_summer_regular,IVL,yan,maozi,f,lpz,xmm,"月亮河公园",1,1,IVL_COA_2020-2024.json,23
91,2020-07-05,IVL_2020_summer_regular,IVL,yan,maozi,f,lpz,xmm,"月亮河公园",4,0,IVL_COA_2020-2024.json,23
92,2020-07-05,IVL_2020_summer_regular,IVL,ppx,bbe,youzi,xiaoci,bobo,"月亮河公园",2,,IVL_COA_2020-2024.json,23
93,2020-07-05,IVL_2020_summer_regular,IVL,afu,ruoan,fox,zibi,sans,"月亮河公园",1,1,IVL_COA_2020-2024.json,24
94,2020-07-05,IVL_2020_summer_regular,IVL,yue,yjj,billy,tea,sxy,"月亮河公园",0,1,IVL_COA_2020-2024.json,24
95,2020-07-05,IVL_2020_summer_regular,IVL,yue,yjj,billy,tea,sxy,"永眠镇",0,1,IVL_COA_2020-2024.json,24
96,2020-07-05,IVL_2020_summer_regular,IVL,afu,ruoan,fox,zibi,sans,"永眠镇",2,,IVL_COA_2020-2024.json,24
97,2020-07-10,IVL_2020_summer_regular,IVL,xawm,weirdo,qingc,xiaod,jiu,"红教堂",3,0,IVL_COA_2020-2024.json,25
98,2020-07-10,IVL_2020_summer_regular,IVL,xc,zzai,445,kucao,zb,"红教堂",3,0,IVL_COA_2020-2024.json,25
99,2020-07-10,IVL_2020_summer_regular,IVL,xawm,weirdo,qingc,xiaod,jiu,"军工厂",0,1,IVL_COA_2020-2024.json,25
100,2020-07-10,IVL_2020_summer_regular,IVL,xc,zzai,445,kucao,zb,"军工厂",2,,IVL_COA_2020-2024.json,25
101,2020-07-10,IVL_2020_summer_regular,IVL,xc,zzai,445,kucao,zb,"军工厂",4,0,IVL_COA_2020-2024.json,25
102,2020-07-10,IVL_2020_summer_regular,IVL,ppxia,weirdo,qingc,xiaod,jiu,"军工厂",2,,IVL_COA_2020-2024.json,25
103,2020-07-10,IVL_2020_summer_regular,IVL,ppx,lion,wy,487,jelly,"红教堂",1,1,IVL_COA_2020-2024.json,26
104,2020-07-10,IVL_2020_summer_regular,IVL,jue,maozi,f,lpz,xmm,"红教堂",2,,IVL_COA_2020-2024.json,26
105,2020-07-10,IVL_2020_summer_regular,IVL,ppx,lion,wy,487,jelly,"军工厂",3,0,IVL_COA_2020-2024.json,26
106,2020-07-10,IVL_2020_summer_regular,IVL,jue,maozi,f,lpz,xmm,"军工厂",2,,IVL_COA_2020-2024.json,26
107,2020-07-10,IVL_2020_summer_regular,IVL,jue,maozi,f,lpz,xmm,"月亮河公园",2,,IVL_COA_2020-2024.json,26
108,2020-07-10,IVL_2020_summer_regular,IVL,ppx,lion,wy,487,jelly,"月亮河公园",3,0,IVL_COA_2020-2024.json,26
109,2020-07-11,IVL_2020_summer_regular,IVL,sese,bbe,youzi,xiaoci,bobo,"军工厂",3,0,IVL_COA_2020-2024.json,27
110,2020-07-11,IVL_2020_summer_regular,IVL,yan,blue,add,tang,huiyi,"军工厂",3,0,IVL_COA_2020-2024.json,27
111,2020-07-11,IVL_2020_summer_regular,IVL,d,bbe,youzi,xiaoci,bobo,"圣心医院",2,,IVL_COA_2020-2024.json,27
112,2020-07-11,IVL_2020_summer_regular,IVL,yan,blue,add,tang,huiyi,"圣心医院",3,0,IVL_COA_2020-2024.json,27
113,2020-07-11,IVL_2020_summer_regular,IVL,d,bbe,youzi,xiaoci,bobo,"红教堂",2,,IVL_COA_2020-2024.json,27
114,2020-07-11,IVL_2020_summer_regular,IVL,yan,blue,add,tang,huiyi,"红教堂",3,0,IVL_COA_2020-2024.json,27
115,2020-07-11,IVL_2020_summer_regular,IVL,dongx,ruoan,fox,zibi,sans,"军工厂",0,1,IVL_COA_2020-2024.json,28
116,2020-07-11,IVL_2020_summer_regular,IVL,yue,zyj,"xc(仙茶)",xm,9j,"军工厂",0,1,IVL_COA_2020-2024.json,28
117,2020-07-11,IVL_2020_summer_regular,IVL,dongx,ruoan,fox,zibi,sans,"永眠镇",0,1,IVL_COA_2020-2024.json,28
118,2020-07-11,IVL_2020_summer_regular,IVL,yue,zyj,ww,xm,9j,"永眠镇",2,,IVL_COA_2020-2024.json,28
119,2020-07-11,IVL_2020_summer_regular,IVL,yue,zyj,ww,xm,22,"红教堂",2,,IVL_COA_2020-2024.json,28
120,2020-07-11,IVL_2020_summer_regular,IVL,dongx,ruoan,fox,zibi,sans,"红教堂",2,,IVL_COA_2020-2024.json,28
121,2020-07-11,IVL_2020_summer_regular,IVL,afu,shy,long,mk,ak,"永眠镇",0,1,IVL_COA_2020-2024.json,29
122,2020-07-11,IVL_2020_summer_regular,IVL,ymm,yjj,billy,tea,sxy,"永眠镇",1,1,IVL_COA_2020-2024.json,29
123,2020-07-11,IVL_2020_summer_regular,IVL,afu,iron,long,mk,ak,"军工厂",0,1,IVL_COA_2020-2024.json,29
