canonical_id,known_roles,first_seen,last_seen,n_games
dahyo,survivor,2021-06-18,2022-11-05,63
dai,survivor,2024-03-09,2024-03-09,3
daikiri,hunter,2022-06-24,2022-07-01,4
dama,survivor,2021-10-30,2021-11-13,6
damin,survivor,2021-09-11,2021-09-11,3
dan,survivor,2022-07-03,2024-03-17,21
danb,survivor,2025-03-02,2025-03-02,2
dango,survivor,2024-03-09,2026-03-07,16
"dan＠tp",survivor,2021-06-12,2021-06-12,3
dark,hunter,2020-10-09,2022-02-27,20
darkowo,hunter,2022-04-19,2022-04-20,5
daru,hunter,2025-03-01,2026-02-28,14
dashstar,survivor,2022-06-24,2022-07-02,9
dazzle7,survivor,2022-02-26,2022-02-26,2
dd,survivor,2021-03-20,2022-07-10,11
ddd,survivor,2022-07-03,2022-09-10,16
ddeok,survivor,2023-02-18,2023-02-18,1
delta,survivor,2021-08-14,2021-08-14,3
demi,both,2021-11-13,2023-07-09,19
devil,survivor,2023-06-24,2023-06-24,2
df,survivor,2021-03-21,2022-11-13,45
dfg,survivor,2026-02-28,2026-03-01,6
dian0,survivor,2021-03-27,2021-03-27,3
diano,survivor,2021-03-21,2021-03-21,2
dinzuzn,hunter,2021-03-06,2021-03-06,1
dis,survivor,2021-12-17,2025-03-23,260
distracted,survivor,2022-06-25,2022-06-25,3
dj,survivor,2026-02-28,2026-02-28,2
dk,survivor,2022-07-30,2022-07-30,3
dking,survivor,2021-03-21,2025-08-24,274
dlx,survivor,2022-06-25,2022-06-25,3
dm(kor),survivor,2023-06-25,2023-06-25,1
dobi,survivor,2023-02-17,2023-02-17,4
dobichu,survivor,2022-02-19,2022-02-20,3
dohyeon,survivor,2023-02-17,2023-02-17,2
dohyun,survivor,2024-03-16,2024-03-17,4
dolisu,survivor,2021-05-01,2026-05-01,560
dolphin,survivor,2023-02-24,2026-02-28,14
domichan,survivor,2021-08-08,2021-08-21,12
dongx,hunter,2020-06-26,2026-05-05,907
doom,hunter,2023-08-05,2023-08-05,3
