player_id,role,beta,n_games,first_seen,last_seen
lan,hunter,0.12118258295496563,2,2022-03-20,2022-03-27
snow,hunter,0.11639268492172208,1,2025-03-08,2025-03-08
zher,hunter,0.11639268492172208,1,2025-03-06,2025-03-08
7luo,hunter,0.11159647006015422,4,2023-02-17,2025-02-22
akn,hunter,0.11132202945671026,2,2021-03-13,2021-03-13
bita,hunter,0.11123296469002354,2,2022-07-02,2022-07-02
siyu,hunter,0.10850927104755247,5,2025-04-15,2026-03-07
pencilnobully,hunter,0.10497673077473255,14,2021-08-08,2021-09-11
musan,hunter,0.1003834297065257,6,2020-10-11,2022-03-06
mbing,hunter,0.09937946934074596,2,2022-12-04,2022-12-04
ll975,hunter,0.09878819833265516,6,2023-07-29,2023-08-06
siru,hunter,0.0980832397264439,1,2020-10-04,2025-03-02
いでし@最翔推,hunter,0.09486606727796866,1,2021-11-14,2021-11-14
fノsign,hunter,0.09398750941886776,3,2021-06-13,2021-11-14
ytea,hunter,0.09351518616380138,2,2021-03-05,2021-03-07
ぱぷぁ,hunter,0.09336513543459975,1,2021-11-14,2021-11-14
ssa,hunter,0.09208208371962194,11,2025-11-14,2026-03-21
nyab,hunter,0.09186088672450232,4,2022-07-03,2022-07-03
yun,hunter,0.09093625713005771,5,2026-02-28,2026-03-15
hamuchan,hunter,0.08974280027678495,6,2022-12-03,2026-03-07
mone,hunter,0.08884766151372336,20,2020-08-14,2026-03-14
ukg,hunter,0.08730457610810013,14,2021-03-13,2022-10-02
ares,hunter,0.08705259834554756,14,2020-10-02,2021-03-07
siesta,hunter,0.08689973083529093,2,2023-02-24,2023-02-24
charlie,hunter,0.0861072539691358,2,2024-07-27,2024-07-27
61rd,hunter,0.08593479497731765,10,2021-06-13,2022-03-11
eguite,hunter,0.08572203801671821,6,2023-02-25,2024-03-15
banbang,hunter,0.08222435003573755,3,2022-07-02,2022-07-02
amam,hunter,0.08170634684965426,4,2024-03-01,2024-03-10
leeharin,hunter,0.08145847154750073,3,2024-07-20,2024-07-21
romi,hunter,0.08122256013863087,12,2023-09-28,2024-07-21
magu,hunter,0.07845449054765687,12,2021-03-06,2021-11-14
mian,hunter,0.07771271563286795,1,2020-11-19,2020-11-19
yako,hunter,0.0769906276734287,1,2021-09-11,2021-09-11
superzhan,hunter,0.07698492292069332,1,2026-03-01,2026-03-01
ldearu,hunter,0.07610327174783346,2,2020-10-09,2020-10-11
hanksome,hunter,0.07486330730476054,5,2022-07-02,2025-02-22
janedoe,hunter,0.07420400221893578,1,2025-03-01,2025-03-01
purinp,hunter,0.074170966555026,1,2023-02-24,2023-02-24
d,hunter,0.07220162500843123,464,2020-06-26,2026-03-15
マクー,hunter,0.07089502700986293,3,2020-08-15,2020-08-16
hanzo,hunter,0.06942447036951971,8,2020-10-03,2020-10-11
dream,hunter,0.06897671619004629,13,2021-03-14,2024-04-21
karyl,hunter,0.06661672039218597,10,2022-02-25,2022-08-21
yuvagx,hunter,0.06650137614000474,5,2022-07-30,2022-08-07
penmochi,hunter,0.06615784478699141,3,2021-03-06,2021-03-06
ayako:3,hunter,0.06497324713186184,11,2021-08-08,2021-09-05
glast,hunter,0.06457334120918115,9,2022-08-26,2022-09-10
bakocha,hunter,0.06426117025441795,4,2020-10-11,2020-10-24
yasu,hunter,0.0641433757673172,6,2022-02-26,2022-02-27
zhengm,hunter,0.06408474041896911,2,2021-12-19,2021-12-19
nicolodien,hunter,0.06323235992037633,7,2022-06-24,2022-07-02
kira,hunter,0.06206661764349031,4,2024-03-09,2024-03-17
capedbaldy,hunter,0.061680810276268414,6,2022-06-25,2022-07-02
boyboss,hunter,0.0596439740381282,5,2022-06-25,2022-07-01
nana,hunter,0.05906983989799965,4,2020-10-11,2026-03-13
ryz,hunter,0.0583019120141637,156,2021-11-13,2024-12-22
anne,hunter,0.05807314137897641,1,2024-07-20,2025-03-02
irohas,hunter,0.057314855481777616,5,2025-02-22,2025-03-02
rainv,hunter,0.05699057445737194,3,2022-07-03,2022-07-03
tofu,hunter,0.05571742126807164,2,2022-02-19,2024-08-30
72s,hunter,0.05518403931609565,31,2020-10-02,2022-02-25
in3,hunter,0.05267508670411864,1,2025-03-01,2025-03-01
seiychu,hunter,0.050604260564949446,17,2021-08-07,2023-07-30
souta,hunter,0.05003204388188374,7,2020-08-07,2021-06-26
seres,hunter,0.048298328872628214,2,2023-02-18,2023-02-18
moroll,hunter,0.04753617679367596,10,2023-06-25,2024-07-21
kkangtae,hunter,0.047462652533539276,12,2023-02-17,2023-06-25
ktullanux,hunter,0.046536463825549386,1,2022-06-24,2022-06-24
doom,hunter,0.045972890723493955,3,2023-08-05,2023-08-05
sinto,hunter,0.045372434413862864,17,2021-03-13,2022-07-31
ali,hunter,0.043727033529028625,66,2023-03-12,2025-11-28
afu,hunter,0.04340865077290358,272,2020-06-25,2023-02-24
stnk,hunter,0.04113623282699515,28,2023-02-25,2024-07-28
senky,hunter,0.03999733735916298,1,2022-02-27,2022-02-27
end,hunter,0.0396904868313928,14,2022-07-03,2025-02-22
ppxia,hunter,0.03881029637618083,143,2020-06-25,2026-04-19
plum,hunter,0.0382840099048012,1,2022-07-30,2022-07-30
lorem,hunter,0.03776690366971188,1,2023-06-24,2023-06-24
nzz2,hunter,0.03714835974701504,2,2021-11-14,2021-11-14
supri,hunter,0.03457724859297427,5,2022-07-30,2022-07-31
tsubachi,hunter,0.03347742694250596,3,2022-12-03,2024-03-15
yoin,hunter,0.03347123122152827,2,2025-02-22,2025-02-23
vuiton,hunter,0.03286358660787542,7,2026-02-28,2026-04-12
repa,hunter,0.031948043802358474,20,2023-02-25,2026-03-01
yotsu,hunter,0.03143612200985502,7,2020-08-15,2021-03-13
mcneko,hunter,0.030448507518107498,2,2023-02-18,2023-02-26
oub,hunter,0.030416682477244553,11,2024-03-09,2024-03-30
superrich,hunter,0.029151497321536542,186,2021-06-19,2023-12-29
れみのもの,hunter,0.028894025639626144,1,2021-06-12,2021-06-12
うぇる,hunter,0.028809931901850418,1,2021-06-13,2021-06-13
するめいか,hunter,0.028809931901850418,1,2021-06-13,2021-06-13
ayi,hunter,0.0271032717056979,3,2021-03-13,2021-03-13
nagato,hunter,0.024225722591145187,3,2022-02-26,2022-02-26
赤いねじじ,hunter,0.023789745143546034,2,2021-06-13,2021-06-13
marczs,hunter,0.023370072865562946,3,2021-08-28,2022-02-25
ke,hunter,0.022298162546683625,20,2021-03-13,2022-07-10
humy,hunter,0.02110392990897316,3,2022-07-02,2022-07-02
natuki,hunter,0.020402269649243184,5,2023-02-19,2024-03-10
fafatazz,hunter,0.01877426969148584,2,2024-07-14,2024-07-14
oxygen,hunter,0.018527950027704746,23,2021-08-08,2023-08-05
you0,hunter,0.018476160471714912,3,2021-03-13,2026-03-01
nagisa,hunter,0.01824925888380336,4,2023-07-08,2023-07-09
well,hunter,0.014806192473789821,9,2021-11-14,2021-11-27
mark,hunter,0.013954585068534668,2,2025-03-01,2025-03-01
amu,hunter,0.013761769461061947,18,2022-07-03,2023-02-26
slade,hunter,0.012901365839653315,4,2022-06-24,2022-07-01
riffernun,hunter,0.012213844189970067,20,2021-08-08,2022-02-27
weru,hunter,0.012124875914324679,9,2021-06-20,2021-07-04
tyun,hunter,0.010481595954713234,4,2024-03-16,2024-07-20
marco,hunter,0.010319864452262318,4,2024-07-20,2025-03-01
napjune,hunter,0.009614565185666024,1,2025-03-01,2025-03-01
nilu,hunter,0.008946845637501779,6,2023-07-30,2023-08-27
jihyun,hunter,0.008517201654725477,8,2021-02-26,2021-02-27
jio,hunter,0.008246202645159519,2,2022-03-20,2022-04-04
muhyo,hunter,0.0048714812202557915,6,2023-07-08,2024-03-10
qing(sea),hunter,0.004697030159745879,9,2021-08-08,2022-02-26
ram,hunter,0.004532796875104982,6,2021-03-06,2023-02-19
