player_id,role,beta,n_games,first_seen,last_seen
r1haku,hunter,-0.00020118017210362307,6,2022-02-19,2023-02-17
yes,hunter,-0.00025220847955752197,7,2021-03-20,2021-03-28
goated,hunter,-0.0003685360083283104,1,2022-02-20,2022-02-20
marco,hunter,-0.00038558560101624467,2,2024-07-20,2025-03-01
crazy,hunter,-0.00038594394227700493,8,2020-09-13,2021-05-01
ytea,hunter,-0.0004363792225672066,2,2021-03-05,2021-03-07
hgw,hunter,-0.0004706467161851274,2,2022-03-26,2022-04-03
duke,hunter,-0.00047600963132213173,1,2021-02-27,2021-02-27
penmochi,hunter,-0.00047890433839021905,3,2021-03-06,2021-03-06
pygmalion,hunter,-0.0004798552974995717,2,2021-03-21,2021-03-21
dinzuzn,hunter,-0.0004888090413958496,1,2021-03-06,2021-03-06
ialian,hunter,-0.0005266267318215014,2,2021-02-28,2021-02-28
箫箫,hunter,-0.0005578678210809982,6,2021-03-21,2021-04-17
wcy,hunter,-0.0006252044356739474,3,2021-04-11,2021-04-16
yotsu,hunter,-0.0006388182271681157,4,2020-08-15,2021-03-13
babaolan,hunter,-0.000691155853597807,3,2021-03-27,2021-03-28
guree,hunter,-0.0007010006943144369,2,2021-09-12,2022-02-20
kotul,hunter,-0.0007650825177443258,2,2021-02-26,2021-02-26
walmart,hunter,-0.0008843917893967744,3,2022-02-19,2022-02-19
saveagecat,hunter,-0.0008859239950966398,2,2021-03-07,2021-03-07
天心,hunter,-0.0009003593081648109,12,2021-03-21,2021-04-16
sasa,hunter,-0.0009521251371893404,4,2020-11-07,2020-11-25
oub,hunter,-0.0009717789742875147,11,2024-03-09,2024-03-30
lark,hunter,-0.0010603138618696325,3,2021-03-21,2021-03-27
morningstar,hunter,-0.0010669177856882147,3,2022-02-20,2022-02-20
iwane,hunter,-0.0011282365211448633,3,2022-02-26,2022-08-21
prushka,hunter,-0.001375569593279841,3,2023-02-25,2023-02-25
promeh,hunter,-0.0014084465600734503,6,2022-02-20,2022-02-21
nyo,hunter,-0.0014621749688448556,1,2023-02-17,2023-02-17
allforone,hunter,-0.0014922329334759476,1,2022-02-19,2022-02-19
edu,hunter,-0.001497607312115438,1,2022-02-20,2022-02-20
mine,hunter,-0.0015186282344222383,1,2023-02-18,2023-02-18
xfy,hunter,-0.0016243425756879341,5,2021-03-27,2021-04-16
ragineko,hunter,-0.0017034943349786569,4,2022-03-05,2022-03-11
xrr,hunter,-0.0017545538313774312,17,2020-11-04,2021-04-17
nobara,hunter,-0.0018950484017293502,2,2022-02-19,2022-07-30
frag,hunter,-0.0019090414625762494,2,2022-02-25,2022-02-27
demi,hunter,-0.001957312809479749,4,2021-11-13,2023-07-09
luxii,hunter,-0.001959463437314042,2,2022-02-25,2022-02-25
daegum,hunter,-0.0022236692498552664,2,2022-02-20,2022-02-20
dark,hunter,-0.002287541670537682,5,2020-10-09,2022-02-27
kuaji,hunter,-0.0023822819412072905,22,2020-07-17,2021-03-27
taryo,hunter,-0.0027095245468284233,10,2021-03-13,2023-02-26
toulang,hunter,-0.002777144394930908,2,2023-02-18,2024-07-20
nekobebi,hunter,-0.0029430414506459784,2,2023-02-17,2023-02-17
kurowa,hunter,-0.002944956013491834,2,2023-02-18,2023-02-18
thelast,hunter,-0.0029607784351655224,3,2021-05-02,2024-08-25
ialien,hunter,-0.0029835336169392675,2,2022-02-19,2022-02-19
neet,hunter,-0.003021928060102335,2,2023-02-25,2023-02-25
zed,hunter,-0.0030553511535162544,2,2021-08-08,2023-08-27
ke,hunter,-0.0031629063258738484,12,2021-03-13,2022-07-10
tonkatsu,hunter,-0.003359173619392175,2,2022-02-20,2024-07-15
jio,hunter,-0.0033835972197395103,2,2022-03-20,2022-04-04
hibiyan,hunter,-0.003480694762992652,5,2020-08-08,2022-02-19
seiychu,hunter,-0.0037783226325923155,7,2021-08-07,2023-07-30
papua,hunter,-0.003922229229412668,7,2022-02-19,2022-04-30
7777777,hunter,-0.004044830653739417,4,2022-03-20,2022-04-04
ram,hunter,-0.00412206829348885,2,2021-03-06,2023-02-19
xuan,hunter,-0.004148680886370866,3,2021-10-22,2024-07-14
natuki,hunter,-0.004406744149783135,5,2023-02-19,2024-03-10
fafa,hunter,-0.0050508872799468205,3,2022-06-24,2023-02-18
ppxia,hunter,-0.0055736951221883645,139,2020-06-25,2026-04-19
kuga,hunter,-0.00573700653888303,9,2022-08-19,2026-03-08
xice,hunter,-0.005762731085457697,4,2022-03-19,2022-03-27
wolf,hunter,-0.005919823911367256,3,2021-10-29,2022-07-23
ynight33,hunter,-0.006029581495317875,1,2023-02-18,2023-02-18
luoxuan,hunter,-0.006059074285003069,1,2023-02-24,2023-02-24
purinp,hunter,-0.006069694578591943,1,2023-02-24,2023-02-24
xiaoyu,hunter,-0.006162772359620534,6,2023-03-04,2023-03-12
silk,hunter,-0.006193183248326188,7,2020-08-14,2022-05-03
xj,hunter,-0.006277546150463233,2,2022-08-07,2022-08-07
ynight,hunter,-0.0066089791358024084,1,2024-03-17,2024-03-17
liu,hunter,-0.006645308229657176,5,2022-03-19,2022-03-27
yun,hunter,-0.006708505982455591,5,2026-02-28,2026-03-15
mozuku,hunter,-0.0068485989440855875,3,2022-07-30,2022-08-21
amu,hunter,-0.006989264271524277,2,2022-07-03,2023-02-26
maitake,hunter,-0.007053741957807672,6,2021-06-13,2022-07-31
tong,hunter,-0.007200932370375448,4,2022-03-20,2022-03-27
mcneko,hunter,-0.007347898744490659,2,2023-02-18,2023-02-26
dweeb,hunter,-0.007378621306352186,1,2023-02-17,2023-02-17
ujo,hunter,-0.007483498171388446,7,2022-03-19,2022-04-03
raccoon,hunter,-0.0077997347820286805,3,2023-02-17,2024-03-17
mmq,hunter,-0.008041683221119882,3,2024-03-09,2024-03-17
dreamer,hunter,-0.008062740987587374,1,2022-06-25,2024-03-16
bashi,hunter,-0.008068176979430573,5,2020-08-07,2022-03-11
elysia,hunter,-0.00810402508115359,2,2023-02-17,2023-02-17
mbing,hunter,-0.008736638131631865,2,2022-12-04,2022-12-04
lxue,hunter,-0.008749817394168767,1,2024-03-17,2025-02-22
fmaruko,hunter,-0.008919968157510458,21,2023-10-13,2025-03-09
loki,hunter,-0.009065755378109329,4,2023-02-18,2024-03-16
yinl,hunter,-0.009080953956439246,5,2022-03-20,2025-04-18
darkowo,hunter,-0.009211867355058684,5,2022-04-19,2022-04-20
yanasa,hunter,-0.009230319271938632,7,2020-08-09,2024-03-15
d,hunter,-0.00937086630256573,464,2020-06-26,2026-03-15
tvtear,hunter,-0.009398149779230588,2,2026-03-06,2026-03-08
gy,hunter,-0.0094680000930493,21,2021-03-20,2021-12-12
tx,hunter,-0.009587875341226959,54,2020-11-05,2025-05-04
jue,hunter,-0.009863335714964894,79,2020-06-25,2021-04-18
choco,hunter,-0.009946757742820557,3,2023-02-18,2026-03-13
lenioii,hunter,-0.01180362132777424,2,2024-03-09,2024-03-09
leaf,hunter,-0.012118312146483188,4,2022-03-27,2026-03-21
sobin,hunter,-0.012234769803699034,2,2024-03-17,2024-03-17
sixhua,hunter,-0.012476243987412549,2,2024-03-09,2024-03-09
xiaoq,hunter,-0.012578710837514157,2,2024-03-10,2024-03-10
tsubachi,hunter,-0.012675034035235865,2,2022-12-03,2024-03-15
romi,hunter,-0.013131023173389633,2,2023-09-28,2024-07-21
xchen,hunter,-0.014490961328611586,3,2023-03-12,2023-03-12
odeop,hunter,-0.01607919269354235,8,2024-03-16,2025-03-02
precor,hunter,-0.01804977884220156,3,2023-02-25,2023-02-26
nonino,hunter,-0.018533618233495915,47,2020-08-16,2022-08-26
znan,hunter,-0.020078322610152716,1,2025-02-22,2025-02-22
irin,hunter,-0.0203091142156016,2,2025-02-22,2025-02-22
jiu9,hunter,-0.021531167062453678,49,2020-07-03,2021-12-19
ryun,hunter,-0.02243400738064521,19,2023-02-24,2023-04-17
moonlight,hunter,-0.023213462230702215,1,2026-03-07,2026-03-07
napjune,hunter,-0.02464930389523496,1,2025-03-01,2025-03-01
ideshi,hunter,-0.02515601016967199,18,2022-07-31,2023-02-19
rata,hunter,-0.026411876973814953,8,2022-07-30,2023-03-05
anakin,hunter,-0.026538061057651306,1,2024-03-16,2024-03-16
wlmy,hunter,-0.026565279728540645,4,2023-03-04,2023-03-12
noah,hunter,-0.027440776244813007,2,2026-02-28,2026-02-28
afu,hunter,-0.028322939353795987,259,2020-06-25,2023-02-24
stnk,hunter,-0.028992804074639028,19,2023-02-25,2024-07-28
mikogw,hunter,-0.031660549258338375,9,2023-03-04,2023-03-25
01499,hunter,-0.03166434200265327,1,2024-03-09,2024-03-09
yuu,hunter,-0.03193806764517135,28,2020-08-16,2022-12-11
warot1,hunter,-0.03233350978560962,3,2023-02-19,2024-03-10
nene,hunter,-0.032524157961774235,2,2024-03-16,2024-03-16
brontal,hunter,-0.0331103445876,159,2022-07-30,2026-03-14
ukj,hunter,-0.036709162266665825,2,2024-04-13,2024-04-21
zhan,hunter,-0.03938504570602377,3,2022-07-02,2024-03-09
yukakina,hunter,-0.03989783487956641,193,2022-07-02,2026-03-15
shibata,hunter,-0.04208123653836103,3,2024-03-09,2024-03-09
vanpyi,hunter,-0.04506670517040642,42,2020-08-08,2023-04-14
chz,hunter,-0.045343566170768915,99,2020-06-25,2022-10-06
cxx,hunter,-0.04624816948887136,8,2025-03-07,2025-03-22
alcaraz,hunter,-0.04752911400298484,2,2025-02-22,2025-02-22
phamlam,hunter,-0.047922279874670355,2,2025-03-01,2025-03-01
nico,hunter,-0.05129910526809821,16,2022-07-30,2023-04-16
musk,hunter,-0.052100457818380415,16,2023-03-04,2024-10-26
sea,hunter,-0.05362998923706325,1,2026-03-22,2026-03-22
miaopai,hunter,-0.0563973456137139,34,2023-02-25,2026-04-18
vuiton,hunter,-0.05851706538165428,7,2026-02-28,2026-04-12
hun,hunter,-0.05902535285802621,3,2026-02-28,2026-03-01
metal,hunter,-0.06378242990940412,24,2021-02-26,2023-07-16
xc,hunter,-0.06639667706325954,615,2020-06-26,2025-09-11
sese,hunter,-0.06997796277098964,88,2020-06-26,2022-10-30
s1en,hunter,-0.07031570404390598,2,2025-03-01,2025-03-01
rabbit,hunter,-0.07121378187643274,23,2022-10-23,2023-08-04
sleepy,hunter,-0.07289964556592457,10,2023-06-10,2023-07-01
intel,hunter,-0.07291829525315352,4,2025-02-22,2025-03-01
amam,hunter,-0.08032886040566665,4,2024-03-01,2024-03-10
jxy,hunter,-0.08554011882151312,16,2024-03-10,2024-03-31
eguite,hunter,-0.08975686904690583,6,2023-02-25,2024-03-15
snow,hunter,-0.09324644242082916,1,2025-03-08,2025-03-08
zher,hunter,-0.09324644242082916,1,2025-03-06,2025-03-08
superrich,hunter,-0.09541119679910896,186,2021-06-19,2023-12-29
silia,hunter,-0.09778400357336454,97,2020-08-15,2023-04-17
aelong,hunter,-0.09892001220271893,1,2025-03-01,2025-03-01
myoonn,hunter,-0.098964635415932,1,2025-03-01,2025-03-01
fafaaa,hunter,-0.10859206806852507,1,2026-03-02,2026-03-02
ghostly,hunter,-0.10859206806852507,1,2026-03-02,2026-03-02
mollyf,hunter,-0.10908580568990904,19,2023-02-19,2025-03-07
yunan,hunter,-0.11001622348985438,27,2023-06-11,2024-03-30
seven,hunter,-0.11735956406393978,16,2023-02-25,2025-03-08
kira,hunter,-0.1219753340187611,4,2024-03-09,2024-03-17
ssa,hunter,-0.12224314243118206,11,2025-11-14,2026-03-21
yours9,hunter,-0.1265798577469797,1,2025-03-07,2025-03-07
ppx,hunter,-0.1286945801057106,345,2020-06-25,2024-03-30
shota,hunter,-0.13589464509585802,64,2020-08-07,2023-12-22
moru,hunter,-0.1393624216819179,13,2021-03-06,2025-03-01
said,hunter,-0.14087776506382832,2,2025-02-22,2026-03-01
kaloper,hunter,-0.14278928946883374,5,2026-02-28,2026-03-01
znian,hunter,-0.1447585238130376,2,2026-03-08,2026-03-08
latty,hunter,-0.148178226335467,102,2021-02-26,2026-03-14
flowsovo,hunter,-0.15003812641013925,2,2026-03-08,2026-03-14
braveman,hunter,-0.15111961497267154,6,2023-03-12,2025-03-22
mlx,hunter,-0.16415071817971438,3,2024-08-11,2025-08-09
nana,hunter,-0.1642733496802264,4,2020-10-11,2026-03-13
kruger,hunter,-0.1645845661076316,53,2022-12-03,2024-03-17
granny,hunter,-0.170366303330573,5,2026-03-01,2026-04-17
taytien,hunter,-0.1717535965123069,2,2023-07-29,2026-03-07
shao,hunter,-0.17370179637469346,17,2022-02-25,2025-02-23
wu,hunter,-0.17847990488455828,19,2024-11-16,2025-03-15
insomnia,hunter,-0.18032067641826788,2,2024-03-09,2026-03-01
tzym,hunter,-0.18127296667148593,123,2024-03-09,2025-11-22
lxy,hunter,-0.18171953776477195,20,2021-03-21,2024-07-13
typepost,hunter,-0.1866705541915002,4,2025-03-01,2025-03-02
k,hunter,-0.19036904166822882,2,2021-11-13,2026-03-02
ymm,hunter,-0.19510298097876666,265,2020-06-26,2023-08-13
night,hunter,-0.20321412974566838,32,2022-02-25,2024-07-14
irohasu,hunter,-0.20398374959799828,66,2024-03-02,2026-03-15
senq,hunter,-0.2104050585146354,3,2026-02-28,2026-02-28
rose,hunter,-0.21719259752270925,91,2021-03-06,2026-03-07
wlizi,hunter,-0.22269011373671757,19,2024-07-21,2025-09-12
anyi,hunter,-0.23060013803630816,164,2021-08-06,2023-10-22
bcren,hunter,-0.23166057141312818,10,2024-03-09,2025-03-01
lemuel,hunter,-0.2382807055901137,5,2026-03-01,2026-03-01
yue,hunter,-0.24397729504100124,479,2020-06-25,2024-03-30
hu,hunter,-0.2599073773787428,2,2026-03-05,2026-03-07
miraik,hunter,-0.26894331142565786,134,2021-03-07,2025-03-09
suda,hunter,-0.278192175485465,47,2024-11-17,2026-01-02
yeyv,hunter,-0.2871439406488214,61,2022-07-29,2025-11-16
yan,hunter,-0.29613568982267013,457,2020-06-27,2025-11-23
siyu,hunter,-0.30342330474077867,5,2025-04-15,2026-03-07
bo1,hunter,-0.33070864585614257,131,2020-11-12,2025-06-29
mitaka,hunter,-0.34778286989865714,19,2024-10-11,2024-11-16
airin,hunter,-0.3489554992395784,2,2023-02-24,2026-02-28
ali,hunter,-0.34984105536261845,66,2023-03-12,2025-11-28
chillbot,hunter,-0.36165671954725165,2,2026-02-28,2026-02-28
elect,hunter,-0.39166813243039006,3,2026-03-07,2026-03-07
dux,hunter,-0.39704824201998073,1,2026-03-08,2026-03-08
kxwz,hunter,-0.42547026600173,5,2024-03-17,2026-03-01
saltysand,hunter,-0.4292168024520897,2,2026-02-28,2026-03-01
nighty,hunter,-0.4469103669201635,8,2026-03-06,2026-03-21
auchan,hunter,-0.49853117554079157,6,2026-02-27,2026-03-07
sukiyaki,hunter,-0.5094546001679716,1,2026-03-08,2026-03-08
buri,hunter,-0.5366208020525358,8,2026-02-28,2026-03-13
xyang,hunter,-0.5656103365223543,4,2025-09-11,2026-03-13
kotami,hunter,-0.6089212527193603,45,2021-09-11,2026-03-15
esmero,hunter,-0.618221247432934,2,2026-02-28,2026-02-28
baby,hunter,-0.6305290003924636,5,2026-03-05,2026-03-07
yuzuponn,hunter,-0.675042924053248,11,2026-03-07,2026-04-17
mz,hunter,-0.6764648457691822,8,2023-09-28,2025-04-20
fengc,hunter,-0.7249691335767111,5,2026-03-07,2026-03-07
eley,hunter,-0.7525117402798176,6,2026-03-06,2026-03-08
m1take,hunter,-0.7619402211438688,34,2023-02-18,2025-07-13
yuuri,hunter,-0.791993799733359,50,2022-12-03,2026-03-13
yur,hunter,-0.8222292523877507,8,2026-02-27,2026-03-07
jelly,survivor,0.8441700495779528,801,2020-06-25,2026-05-01
xiaox,survivor,0.8324143019720674,288,2021-03-21,2026-05-05
lconfid,survivor,0.7943384882543436,105,2025-05-01,2026-05-05
487,survivor,0.7684001443538715,845,2020-06-25,2025-11-29
xiaod,survivor,0.7342570243602352,814,2020-06-26,2026-05-05
xmx,survivor,0.7139722765492686,341,2023-11-17,2026-05-01
huac,survivor,0.7124686971281065,510,2022-06-03,2026-05-05
nanako,survivor,0.70445696287187,507,2021-03-21,2026-05-05
xmiao5,survivor,0.6945575749705162,224,2023-10-26,2026-05-01
sans,survivor,0.6418049444152978,660,2020-06-25,2026-05-05
kznk,survivor,0.6410313206850053,439,2021-05-01,2026-05-01
dolisu,survivor,0.6389314353055741,435,2021-05-01,2026-05-01
ak,survivor,0.6360580291770037,858,2020-06-25,2026-05-05
sinami,survivor,0.6320959655854039,476,2020-08-14,2026-05-01
yuan,survivor,0.6309460782592787,107,2024-03-10,2026-05-05
eleven,survivor,0.611250912628359,321,2022-03-20,2026-05-01
hametu,survivor,0.5868593901448869,319,2023-06-10,2026-05-01
xen,survivor,0.5536464747338176,510,2021-03-21,2026-05-01
ac,survivor,0.5527966291449762,496,2022-03-19,2026-05-05
koting,survivor,0.5271161127747379,155,2025-03-06,2026-05-02
czai,survivor,0.5246734961524111,588,2020-11-05,2026-03-21
heart,survivor,0.5091868704844105,669,2021-03-20,2026-01-03
monop,survivor,0.48561218105195025,340,2021-09-24,2026-05-03
libao,survivor,0.48122401162064066,579,2021-03-21,2026-05-05
nameko,survivor,0.4789500890756879,278,2022-12-03,2025-12-19
huiyi,survivor,0.47238176273703975,850,2020-06-26,2026-05-02
pendk,survivor,0.4723423822197615,14,2026-02-27,2026-03-15
xy,survivor,0.4703991370512374,260,2023-10-15,2026-05-01
nyan,survivor,0.4530869260628349,450,2021-03-07,2026-05-03
atto,survivor,0.44672306019622476,421,2020-08-08,2026-05-03
stian,survivor,0.4372090710598872,202,2020-12-12,2026-05-05
unpyi,survivor,0.4352529879822932,337,2020-10-10,2026-05-03
tian,survivor,0.41804067122348304,82,2025-10-02,2026-05-01
kucao,survivor,0.40754320807033406,890,2020-06-25,2026-04-19
guoker,survivor,0.4073120140346859,238,2023-07-08,2026-05-02
18,survivor,0.40530293189125344,747,2021-06-12,2026-04-19
mone,survivor,0.404711028148928,386,2020-08-14,2026-03-14
persica,survivor,0.37095444846513137,307,2024-06-09,2026-05-02
soar,survivor,0.3703224162492722,443,2020-08-14,2026-03-14
soba,survivor,0.35242265718176563,490,2020-08-15,2026-05-03
xingchen,survivor,0.3497947558209548,275,2022-03-20,2026-04-18
silverzhi,survivor,0.33017275491933434,430,2022-10-05,2026-03-21
nan,survivor,0.3285947463234891,418,2022-10-22,2025-12-11
ppxia,survivor,0.3258858754268262,577,2020-06-25,2026-04-19
terad,survivor,0.30159255668016727,12,2026-02-27,2026-03-15
ppz,survivor,0.28059479485797634,154,2022-10-28,2026-04-19
maom,survivor,0.2794893859328016,599,2021-03-21,2026-05-05
dking,survivor,0.2762081277908071,274,2021-03-21,2025-08-24
