tau,split,test_season,rmse,null_rmse,r2,n_test
498.7118957038203,5,2025,1.051573150373959,1.1455956444273754,0.15741005909387973,2260
619.0873324496347,1,2021,1.1583618266309066,1.1855754399729566,0.045380973278939085,1324
619.0873324496347,2,2022,1.0897195054115003,1.1204102592069434,0.05403450470692561,1410
619.0873324496347,3,2023,1.1026004563728873,1.092687291607887,-0.018226865716022722,1160
619.0873324496347,4,2024,1.131618780333748,1.1606641160121933,0.04942327254095946,1714
619.0873324496347,5,2025,1.0523342597695635,1.1455956444273754,0.1561899153460733,2260
768.5181133662479,1,2021,1.1581081189999431,1.1855754399729566,0.04579909411676053,1324
768.5181133662479,2,2022,1.0902265988107762,1.1204102592069434,0.05315390292437083,1410
768.5181133662479,3,2023,1.1027716048065592,1.092687291607887,-0.018542993751953674,1160
768.5181133662479,4,2024,1.131499686025669,1.1606641160121933,0.049623344018109194,1714
768.5181133662479,5,2025,1.0530184673772636,1.1455956444273754,0.1550923002829102,2260
954.0174053231276,1,2021,1.1579111581072927,1.1855754399729566,0.04612363079427817,1324
954.0174053231276,2,2022,1.090677606979517,1.1204102592069434,0.052370352691040734,1410
954.0174053231276,3,2023,1.102921975668733,1.092687291607887,-0.018820784057115292,1160
954.0174053231276,4,2024,1.1313729702880213,1.1606641160121933,0.049836195929945815,1714
954.0174053231276,5,2025,1.053578462307884,1.1455956444273754,0.15419341797024855,2260
1184.2911622119798,1,2021,1.1577616531863117,1.1855754399729566,0.046369936400085465,1324
1184.2911622119798,2,2022,1.0910707073471904,1.1204102592069434,0.051687143114209855,1410
1184.2911622119798,3,2023,1.1030209085417042,1.092687291607887,-0.019003570129237035,1160
1184.2911622119798,4,2024,1.131246551319435,1.1606641160121933,0.050048525586485315,1714
1184.2911622119798,5,2025,1.054047261289239,1.1455956444273754,0.15344055239014132,2260
1470.1467175206903,1,2021,1.1576278246263612,1.1855754399729566,0.046590388617791745,1324
1470.1467175206903,2,2022,1.0914015569568454,1.1204102592069434,0.05111193473207065,1410
1470.1467175206903,3,2023,1.1031231284200151,1.092687291607887,-0.01919244641731921,1160
1470.1467175206903,4,2024,1.1311228011448637,1.1606641160121933,0.05025634983263638,1714
1470.1467175206903,5,2025,1.05441528210066,1.1455956444273754,0.15284929638976508,2260
1824.9999999999995,1,2021,1.1575219483296586,1.1855754399729566,0.04676477776189536,1324
1824.9999999999995,2,2022,1.091676657073486,1.1204102592069434,0.050633518488819584,1410
1824.9999999999995,3,2023,1.103191787939502,1.092687291607887,-0.019319321540433032,1160
1824.9999999999995,4,2024,1.1309985583573487,1.1606641160121933,0.05046497849416531,1714
1824.9999999999995,5,2025,1.0547307882786627,1.1455956444273754,0.15234224518576522,2260
