tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
10.0,1.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.131204227360624,1.1625760678151191,0.053241349896634316
10.0,1.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0539912689025697,1.1384964393796808,0.14294109216130324
15.0,0.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1537480507648972,1.1537480507648972,0.0
15.0,0.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.09055673129318,1.09055673129318,0.0
15.0,0.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1447702458694033,1.154605324976626,0.016963702921777624
15.0,0.0,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1256547067792158,1.1625760678151191,0.0625078796273254
15.0,0.0,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.048141061997971,1.1384964393796808,0.15242894466010626
15.0,0.05,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1299833528993923,1.1537480507648972,0.04077137522799579
15.0,0.05,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.073792795759159,1.09055673129318,0.03050751645701877
15.0,0.05,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1421932574310465,1.154605324976626,0.02138454083198804
15.0,0.05,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1256231853477763,1.1625760678151191,0.06256038361396243
15.0,0.05,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0481329507880746,1.1384964393796808,0.1524420627419757
15.0,0.1,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.126569523972187,1.1537480507648972,0.04655853280878797
15.0,0.1,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0704953002392303,1.09055673129318,0.03645277606391095
15.0,0.1,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1407787407112466,1.154605324976626,0.02380691684698366
15.0,0.1,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1255920982645407,1.1625760678151191,0.06261216268415504
15.0,0.1,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0481248916844843,1.1384964393796808,0.15245509645291822
15.0,0.15,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.125714656972186,1.1537480507648972,0.04800497066116871
15.0,0.15,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0690134028223885,1.09055673129318,0.039118625841666144
15.0,0.15,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1399184107385325,1.154605324976626,0.025278773655990627
15.0,0.15,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.125561537535707,1.1625760678151191,0.0626630636573483
15.0,0.15,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0481168837980792,1.1384964393796808,0.15246804723280616
15.0,0.2,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1256946167515798,1.1537480507648972,0.04803886561042392
15.0,0.2,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0682415453019378,1.09055673129318,0.040505691264917765
15.0,0.2,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1393568057106567,1.154605324976626,0.02623897131603492
15.0,0.2,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.125531572372809,1.1625760678151191,0.06271297133306997
15.0,0.2,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0481089262674315,1.1384964393796808,0.15248091647666884
15.0,0.3,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1265345021279984,1.1537480507648972,0.046617811457422165
15.0,0.3,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0676387279586415,1.09055673129318,0.04158828651652058
15.0,0.3,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1386866834745581,1.154605324976626,0.027384085851860807
15.0,0.3,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1254736205652065,1.1625760678151191,0.0628094876468317
