half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,tier
401.7422775109552,3,523,174,1.1183462608637758,1.1421898708837446,12,IJL
401.7422775109552,4,697,174,1.096124117168789,1.1670771035014103,2,IJL
401.7422775109552,5,871,174,1.0702106183305347,1.2270888828592579,3,IJL
498.7118957038203,1,175,174,1.2288028608625214,1.2010531776870597,69,IJL
498.7118957038203,2,349,174,0.9938409727556946,1.186611131336418,4,IJL
498.7118957038203,3,523,174,1.1199233662055852,1.1421898708837446,12,IJL
498.7118957038203,4,697,174,1.0955415116950988,1.1670771035014103,2,IJL
498.7118957038203,5,871,174,1.0705544702982768,1.2270888828592579,3,IJL
619.0873324496347,1,175,174,1.228942660975721,1.2010531776870597,69,IJL
619.0873324496347,2,349,174,0.993733963780517,1.186611131336418,4,IJL
619.0873324496347,3,523,174,1.1213115471848685,1.1421898708837446,12,IJL
619.0873324496347,4,697,174,1.0951419153382729,1.1670771035014103,2,IJL
619.0873324496347,5,871,174,1.0708197408953883,1.2270888828592579,3,IJL
768.5181133662479,1,175,174,1.2290553359352365,1.2010531776870597,69,IJL
768.5181133662479,2,349,174,0.993763220172275,1.186611131336418,4,IJL
768.5181133662479,3,523,174,1.1225072892367562,1.1421898708837446,12,IJL
768.5181133662479,4,697,174,1.094873769328371,1.1670771035014103,2,IJL
768.5181133662479,5,871,174,1.0710281269733548,1.2270888828592579,3,IJL
954.0174053231276,1,175,174,1.229146139565913,1.2010531776870597,69,IJL
954.0174053231276,2,349,174,0.9938574217601874,1.186611131336418,4,IJL
954.0174053231276,3,523,174,1.1235209874551297,1.1421898708837446,12,IJL
954.0174053231276,4,697,174,1.0946972321441804,1.1670771035014103,2,IJL
954.0174053231276,5,871,174,1.0711940575147851,1.2270888828592579,3,IJL
1184.2911622119798,1,175,174,1.2292193113798537,1.2010531776870597,69,IJL
1184.2911622119798,2,349,174,0.9939766785080854,1.186611131336418,4,IJL
1184.2911622119798,3,523,174,1.1243702380309277,1.1421898708837446,12,IJL
1184.2911622119798,4,697,174,1.0945830664052791,1.1670771035014103,2,IJL
1184.2911622119798,5,871,174,1.0713273843548752,1.2270888828592579,3,IJL
1470.1467175206903,1,175,174,1.2292782712180934,1.2010531776870597,69,IJL
1470.1467175206903,2,349,174,0.9940995269645607,1.186611131336418,4,IJL
1470.1467175206903,3,523,174,1.125075425730076,1.1421898708837446,12,IJL
1470.1467175206903,4,697,174,1.0945105732750098,1.1670771035014103,2,IJL
1470.1467175206903,5,871,174,1.071435099959688,1.2270888828592579,3,IJL
1824.9999999999995,1,175,174,1.2293257769710186,1.2010531776870597,69,IJL
1824.9999999999995,2,349,174,0.9942151268105927,1.186611131336418,4,IJL
1824.9999999999995,3,523,174,1.1256570654714237,1.1421898708837446,12,IJL
1824.9999999999995,4,697,174,1.0944654767922102,1.1670771035014103,2,IJL
1824.9999999999995,5,871,174,1.071522375769879,1.2270888828592579,3,IJL
29.999999999999996,1,199,196,1.1906482982246336,1.1909522857523618,87,COA
29.999999999999996,2,395,196,1.1612943705150807,1.1473127431577865,5,COA
29.999999999999996,3,591,196,1.3297225769824728,1.3151394742515692,184,COA
29.999999999999996,4,787,196,1.0823129827637714,1.178030178747903,110,COA
29.999999999999996,5,983,196,1.050083478997632,1.1823532398033463,2,COA
37.24118099745335,1,199,196,1.1907235565494676,1.1909522857523618,87,COA
37.24118099745335,2,395,196,1.1612420962862136,1.1473127431577865,5,COA
37.24118099745335,3,591,196,1.330524582693904,1.3151394742515692,184,COA
37.24118099745335,4,787,196,1.082643871059946,1.178030178747903,110,COA
37.24118099745335,5,983,196,1.0497969837037107,1.1823532398033463,2,COA
46.23018540283602,1,199,196,1.1908799096263178,1.1909522857523618,87,COA
46.23018540283602,2,395,196,1.1606025378921854,1.1473127431577865,5,COA
46.23018540283602,3,591,196,1.3309409739075293,1.3151394742515692,184,COA
46.23018540283602,4,787,196,1.0829016821697124,1.178030178747903,110,COA
46.23018540283602,5,983,196,1.048683579022663,1.1823532398033463,2,COA
57.38889007109474,1,199,196,1.191223581793385,1.1909522857523618,87,COA
57.38889007109474,2,395,196,1.1588720144334073,1.1473127431577865,5,COA
57.38889007109474,3,591,196,1.3307612797138797,1.3151394742515692,184,COA
57.38889007109474,4,787,196,1.083059288798776,1.178030178747903,110,COA
57.38889007109474,5,983,196,1.0459704978576774,1.1823532398033463,2,COA
71.24100141268643,1,199,196,1.1919019647902738,1.1909522857523618,87,COA
71.24100141268643,2,395,196,1.1557045123259895,1.1473127431577865,5,COA
71.24100141268643,3,591,196,1.3298793151200978,1.3151394742515692,184,COA
71.24100141268643,4,787,196,1.082951473947225,1.178030178747903,110,COA
71.24100141268643,5,983,196,1.0412885936312857,1.1823532398033463,2,COA
88.43663426832285,1,199,196,1.1930552452835974,1.1909522857523618,87,COA
88.43663426832285,2,395,196,1.1513160097563524,1.1473127431577865,5,COA
88.43663426832285,3,591,196,1.3284304078649085,1.3151394742515692,184,COA
88.43663426832285,4,787,196,1.0821237584262808,1.178030178747903,110,COA
88.43663426832285,5,983,196,1.0354226681144676,1.1823532398033463,2,COA
109.78282345307318,1,199,196,1.1947293919755229,1.1909522857523618,87,COA
109.78282345307318,2,395,196,1.1464593217222914,1.1473127431577865,5,COA
109.78282345307318,3,591,196,1.3266721296633501,1.3151394742515692,184,COA
109.78282345307318,4,787,196,1.0799604893893078,1.178030178747903,110,COA
109.78282345307318,5,983,196,1.0299183122498945,1.1823532398033463,2,COA
136.2813999542456,1,199,196,1.1968181930910928,1.1909522857523618,87,COA
136.2813999542456,2,395,196,1.1419490886470534,1.1473127431577865,5,COA
136.2813999542456,3,591,196,1.3248228713283523,1.3151394742515692,184,COA
136.2813999542456,4,787,196,1.0764138726726427,1.178030178747903,110,COA
136.2813999542456,5,983,196,1.0257849240413772,1.1823532398033463,2,COA
169.17600940941313,1,199,196,1.1991065030254857,1.1909522857523618,87,COA
169.17600940941313,2,395,196,1.1382977853704173,1.1473127431577865,5,COA
169.17600940941313,3,591,196,1.323005561917251,1.3151394742515692,184,COA
169.17600940941313,4,787,196,1.0723309515560888,1.178030178747903,110,COA
169.17600940941313,5,983,196,1.0229862511758983,1.1823532398033463,2,COA
210.01047956142742,1,199,196,1.201372496752105,1.1909522857523618,87,COA
210.01047956142742,2,395,196,1.135678516487272,1.1473127431577865,5,COA
210.01047956142742,3,591,196,1.3212601814320177,1.3151394742515692,184,COA
210.01047956142742,4,787,196,1.0687443266528087,1.178030178747903,110,COA
210.01047956142742,5,983,196,1.0211451704352816,1.1823532398033463,2,COA
260.7012760236364,1,199,196,1.2034588797154897,1.1909522857523618,87,COA
260.7012760236364,2,395,196,1.1340256677191627,1.1473127431577865,5,COA
260.7012760236364,3,591,196,1.3195959765959577,1.3151394742515692,184,COA
260.7012760236364,4,787,196,1.0662775305853331,1.178030178747903,110,COA
260.7012760236364,5,983,196,1.0203068259764396,1.1823532398033463,2,COA
323.62744688877655,1,199,196,1.2052866032382425,1.1909522857523618,87,COA
323.62744688877655,2,395,196,1.133146217561353,1.1473127431577865,5,COA
323.62744688877655,3,591,196,1.3180317828232746,1.3151394742515692,184,COA
323.62744688877655,4,787,196,1.0650152065945244,1.178030178747903,110,COA
323.62744688877655,5,983,196,1.0206717497722952,1.1823532398033463,2,COA
