half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,era
619.0873324496347,5,3060,612,1.0961993085376238,1.1033223742125002,130,early (2020-2022)
768.5181133662479,1,612,612,1.198349839694207,1.1936651964881901,126,early (2020-2022)
768.5181133662479,2,1224,612,1.155820253412345,1.1771240015532263,213,early (2020-2022)
768.5181133662479,3,1836,612,1.1501874241900143,1.1929805590951954,151,early (2020-2022)
768.5181133662479,4,2448,612,1.0914181427857552,1.1260434521851945,62,early (2020-2022)
768.5181133662479,5,3060,612,1.097403103708914,1.1033223742125002,130,early (2020-2022)
954.0174053231276,1,612,612,1.198583330453027,1.1936651964881901,126,early (2020-2022)
954.0174053231276,2,1224,612,1.1561431929819959,1.1771240015532263,213,early (2020-2022)
954.0174053231276,3,1836,612,1.1505763140294543,1.1929805590951954,151,early (2020-2022)
954.0174053231276,4,2448,612,1.0919142932337529,1.1260434521851945,62,early (2020-2022)
954.0174053231276,5,3060,612,1.0984252866066169,1.1033223742125002,130,early (2020-2022)
1184.2911622119798,1,612,612,1.1987725968481788,1.1936651964881901,126,early (2020-2022)
1184.2911622119798,2,1224,612,1.1564089336801646,1.1771240015532263,213,early (2020-2022)
1184.2911622119798,3,1836,612,1.150909849162622,1.1929805590951954,151,early (2020-2022)
1184.2911622119798,4,2448,612,1.092354753772523,1.1260434521851945,62,early (2020-2022)
1184.2911622119798,5,3060,612,1.0992824530185163,1.1033223742125002,130,early (2020-2022)
1470.1467175206903,1,612,612,1.1989258208184401,1.1936651964881901,126,early (2020-2022)
1470.1467175206903,2,1224,612,1.1566266852764429,1.1771240015532263,213,early (2020-2022)
1470.1467175206903,3,1836,612,1.1511918789426376,1.1929805590951954,151,early (2020-2022)
1470.1467175206903,4,2448,612,1.0927374519306703,1.1260434521851945,62,early (2020-2022)
1470.1467175206903,5,3060,612,1.0999946388473434,1.1033223742125002,130,early (2020-2022)
1824.9999999999995,1,612,612,1.1990497419199373,1.1936651964881901,126,early (2020-2022)
1824.9999999999995,2,1224,612,1.1568045140899383,1.1771240015532263,213,early (2020-2022)
1824.9999999999995,3,1836,612,1.1514278293692985,1.1929805590951954,151,early (2020-2022)
1824.9999999999995,4,2448,612,1.093064604979604,1.1260434521851945,62,early (2020-2022)
1824.9999999999995,5,3060,612,1.100582295305449,1.1033223742125002,130,early (2020-2022)
29.999999999999996,1,908,904,1.133731302135578,1.1645577230285695,411,late (2023+)
29.999999999999996,2,1812,904,1.0775406171354418,1.111584215894841,202,late (2023+)
29.999999999999996,3,2716,904,1.1435114821448784,1.21840603836992,484,late (2023+)
29.999999999999996,4,3620,904,1.0510642060009048,1.105096800308958,107,late (2023+)
29.999999999999996,5,4524,904,1.0581497417158867,1.1545408618883575,218,late (2023+)
37.24118099745335,1,908,904,1.1347926312757848,1.1645577230285695,411,late (2023+)
37.24118099745335,2,1812,904,1.0752103804341075,1.111584215894841,202,late (2023+)
37.24118099745335,3,2716,904,1.1350713327161348,1.21840603836992,484,late (2023+)
37.24118099745335,4,3620,904,1.0492661882528385,1.105096800308958,107,late (2023+)
37.24118099745335,5,4524,904,1.05138912247663,1.1545408618883575,218,late (2023+)
46.23018540283602,1,908,904,1.1363820387523353,1.1645577230285695,411,late (2023+)
46.23018540283602,2,1812,904,1.0715041357327635,1.111584215894841,202,late (2023+)
46.23018540283602,3,2716,904,1.130511078740507,1.21840603836992,484,late (2023+)
46.23018540283602,4,3620,904,1.0476246248741723,1.105096800308958,107,late (2023+)
46.23018540283602,5,4524,904,1.045588329527312,1.1545408618883575,218,late (2023+)
57.38889007109474,1,908,904,1.1387117618612517,1.1645577230285695,411,late (2023+)
57.38889007109474,2,1812,904,1.067869136547647,1.111584215894841,202,late (2023+)
57.38889007109474,3,2716,904,1.1288402980296284,1.21840603836992,484,late (2023+)
57.38889007109474,4,3620,904,1.0463340961146352,1.105096800308958,107,late (2023+)
57.38889007109474,5,4524,904,1.0408509581564394,1.1545408618883575,218,late (2023+)
71.24100141268643,1,908,904,1.1417107891818539,1.1645577230285695,411,late (2023+)
71.24100141268643,2,1812,904,1.0657471297749035,1.111584215894841,202,late (2023+)
71.24100141268643,3,2716,904,1.1285764355055445,1.21840603836992,484,late (2023+)
71.24100141268643,4,3620,904,1.0455402183634213,1.105096800308958,107,late (2023+)
71.24100141268643,5,4524,904,1.0370942545316746,1.1545408618883575,218,late (2023+)
88.43663426832285,1,908,904,1.145078455084857,1.1645577230285695,411,late (2023+)
88.43663426832285,2,1812,904,1.0654453292665718,1.111584215894841,202,late (2023+)
