tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
169.0,0.2,110.0,2023-01-01,3,2023,1.1058004482150703,1.092687291607887,-0.02414568395398886
169.0,0.2,110.0,2023-01-01,4,2024,1.1239316774344212,1.1606641160121933,0.06229397131376946
169.0,0.2,110.0,2023-01-01,5,2025,1.0634499011384888,1.1455956444273754,0.13826970180610132
169.0,0.4,110.0,2023-01-01,1,2021,1.1651379750016635,1.1855754399729566,0.0341797060466128
169.0,0.4,110.0,2023-01-01,2,2022,1.0873334937964159,1.1204102592069434,0.05817247531556846
169.0,0.4,110.0,2023-01-01,3,2023,1.102779841346652,1.092687291607887,-0.01855820869128877
169.0,0.4,110.0,2023-01-01,4,2024,1.1239763568814394,1.1606641160121933,0.06221941692507449
169.0,0.4,110.0,2023-01-01,5,2025,1.063438749402009,1.1455956444273754,0.13828777456873165
169.0,0.6,110.0,2023-01-01,1,2021,1.1650214848506264,1.1855754399729566,0.03437282124849472
169.0,0.6,110.0,2023-01-01,2,2022,1.087438596194522,1.1204102592069434,0.05799039113228632
169.0,0.6,110.0,2023-01-01,3,2023,1.1012859378592474,1.092687291607887,-0.015800456053982614
169.0,0.6,110.0,2023-01-01,4,2024,1.124030774648438,1.1606641160121933,0.06212860867929848
169.0,0.6,110.0,2023-01-01,5,2025,1.0634277417981166,1.1455956444273754,0.13830561356088933
169.0,0.8,110.0,2023-01-01,1,2021,1.1653370497169895,1.1855754399729566,0.033849638999107645
169.0,0.8,110.0,2023-01-01,2,2022,1.0880294183048693,1.1204102592069434,0.05696649644828611
169.0,0.8,110.0,2023-01-01,3,2023,1.100451117867524,1.092687291607887,-0.014261002791642552
169.0,0.8,110.0,2023-01-01,4,2024,1.1240907534042441,1.1606641160121933,0.06202851558353761
169.0,0.8,110.0,2023-01-01,5,2025,1.0634168748390953,1.1455956444273754,0.138323224441956
169.0,1.0,110.0,2023-01-01,1,2021,1.1659024851489093,1.1855754399729566,0.03291183618680438
169.0,1.0,110.0,2023-01-01,2,2022,1.0888132608261138,1.1204102592069434,0.055607239039197065
169.0,1.0,110.0,2023-01-01,3,2023,1.1000005256154024,1.092687291607887,-0.013430571386878976
169.0,1.0,110.0,2023-01-01,4,2024,1.1241535838254852,1.1606641160121933,0.0619236578746436
169.0,1.0,110.0,2023-01-01,5,2025,1.0634061453101495,1.1455956444273754,0.1383406124287042
324.0,0.2,110.0,2023-01-01,1,2021,1.166095771016142,1.1855754399729566,0.03259115762030562
324.0,0.2,110.0,2023-01-01,2,2022,1.0889762285881477,1.1204102592069434,0.055324514538761194
324.0,0.2,110.0,2023-01-01,3,2023,1.105774859672376,1.092687291607887,-0.024098286446799344
324.0,0.2,110.0,2023-01-01,4,2024,1.125859031338685,1.1606641160121933,0.05907519741101952
324.0,0.2,110.0,2023-01-01,5,2025,1.065584395825399,1.1455956444273754,0.13480700052054218
324.0,0.4,110.0,2023-01-01,1,2021,1.1651379750016635,1.1855754399729566,0.0341797060466128
324.0,0.4,110.0,2023-01-01,2,2022,1.0873334937964159,1.1204102592069434,0.05817247531556846
324.0,0.4,110.0,2023-01-01,3,2023,1.1027425655484555,1.092687291607887,-0.018489351922001518
324.0,0.4,110.0,2023-01-01,4,2024,1.1258294179295072,1.1606641160121933,0.05912469494837791
324.0,0.4,110.0,2023-01-01,5,2025,1.0655728478087678,1.1455956444273754,0.13482575306430544
324.0,0.6,110.0,2023-01-01,1,2021,1.1650214848506264,1.1855754399729566,0.03437282124849472
324.0,0.6,110.0,2023-01-01,2,2022,1.087438596194522,1.1204102592069434,0.05799039113228632
324.0,0.6,110.0,2023-01-01,3,2023,1.1012597292896409,1.092687291607887,-0.015752108282966137
324.0,0.6,110.0,2023-01-01,4,2024,1.1258161790031698,1.1606641160121933,0.059146822822139566
324.0,0.6,110.0,2023-01-01,5,2025,1.065561442169048,1.1455956444273754,0.13484427420617606
324.0,0.8,110.0,2023-01-01,1,2021,1.1653370497169895,1.1855754399729566,0.033849638999107645
324.0,0.8,110.0,2023-01-01,2,2022,1.0880294183048693,1.1204102592069434,0.05696649644828611
324.0,0.8,110.0,2023-01-01,3,2023,1.1004379509960613,1.092687291607887,-0.014236731719274642
324.0,0.8,110.0,2023-01-01,4,2024,1.1258151382478934,1.1606641160121933,0.05914856235559818
324.0,0.8,110.0,2023-01-01,5,2025,1.065550173147652,1.1455956444273754,0.1348625733045583
324.0,1.0,110.0,2023-01-01,1,2021,1.1659024851489093,1.1855754399729566,0.03291183618680438
324.0,1.0,110.0,2023-01-01,2,2022,1.0888132608261138,1.1204102592069434,0.055607239039197065
324.0,1.0,110.0,2023-01-01,3,2023,1.0999983988939461,1.092687291607887,-0.013426652693375063
324.0,1.0,110.0,2023-01-01,4,2024,1.125823260510586,1.1606641160121933,0.05913498664527428
324.0,1.0,110.0,2023-01-01,5,2025,1.0655390354863146,1.1455956444273754,0.13488065890494316
