fold,date,tier,p_home,actual_home,predicted_home,correct,brier,format
4,2025-03-08,COA,0.2781201516876706,0.0,0,1,0.07735081877477291,3
4,2025-03-08,COA,0.4953486270478964,1.0,0,0,0.25467300822244315,3
4,2025-03-08,COA,0.5838926989104049,1.0,1,1,0.17314528602006699,3
4,2025-03-08,COA,0.5421942660772667,1.0,1,1,0.20958609001253245,3
4,2025-03-09,COA,0.2333381648144901,0.0,0,1,0.054446699158994145,3
4,2025-03-09,COA,0.3265279893075676,0.0,0,1,0.10662052780124298,3
4,2025-03-09,COA,0.5357081121671853,1.0,1,1,0.21556695710735901,3
4,2025-03-09,COA,0.4419503345147438,1.0,0,0,0.3114194291482064,3
4,2025-03-09,COA,0.5414536033107119,1.0,1,1,0.21026479791672995,3
4,2025-03-09,COA,0.5635929483434557,1.0,1,1,0.19045111473555768,3
4,2025-03-09,COA,0.5125136639073878,1.0,1,1,0.23764292787699923,3
4,2025-03-14,COA,0.297092393759949,1.0,0,0,0.4940791029101186,3
4,2025-03-14,COA,0.3768060678636974,0.0,0,1,0.14198281277890135,3
4,2025-03-14,COA,0.32518869361714997,1.0,0,0,0.4553702992221287,3
4,2025-03-15,COA,0.26638701316441116,0.0,0,1,0.07096204078265617,3
4,2025-03-15,COA,0.45452139620929427,1.0,0,0,0.2975469071934578,3
4,2025-03-15,COA,0.44711849266922477,1.0,0,0,0.30567796114835005,3
4,2025-03-16,COA,0.5910841242846687,0.0,1,0,0.3493804419813737,3
4,2025-03-16,COA,0.22392477075597056,1.0,0,0,0.6022927614461727,3
4,2025-03-16,COA,0.6599602197476702,0.0,1,0,0.4355474916493931,3
4,2025-03-16,COA,0.2333381648144901,1.0,0,0,0.5877703695300139,3
4,2025-03-22,COA,0.6461766280299743,0.0,1,0,0.4175442346121878,3
4,2025-03-22,COA,0.5089970235368567,1.0,1,1,0.24108392289566605,3
4,2025-03-22,COA,0.7396131657971872,1.0,1,1,0.06780130342616314,3
4,2025-03-22,COA,0.5973278644735152,1.0,1,1,0.16214484872945978,3
4,2025-03-23,COA,0.7164280229663903,1.0,1,1,0.08041306615875007,3
4,2025-03-23,COA,0.3634681556136486,0.0,0,1,0.13210910014518748,3
4,2025-03-23,COA,0.5766395794600008,1.0,1,1,0.179234045679805,3
4,2025-04-11,COA,0.4885535142479646,0.0,0,1,0.23868453628403616,3
4,2025-04-11,COA,0.3626895891176316,1.0,0,0,0.40616455981905325,3
4,2025-04-11,COA,0.5811146971549173,0.0,1,0,0.3376942912494512,3
4,2025-04-11,COA,0.6049235907867314,1.0,1,1,0.15608536911685006,3
4,2025-04-12,COA,0.4765325434516766,0.0,0,1,0.22708326496852407,3
4,2025-04-12,COA,0.0855002693587355,0.0,0,1,0.007310296060416326,3
4,2025-04-12,COA,0.6697437536226611,1.0,1,1,0.10906918827124955,3
4,2025-04-12,COA,0.30498172361171516,0.0,0,1,0.09301385173717262,3
4,2025-04-13,COA,0.45496869161795067,0.0,0,1,0.2069965103525499,3
4,2025-04-13,COA,0.7100860680539689,1.0,1,1,0.08405008793640795,3
4,2025-04-13,COA,0.48859079607279965,0.0,0,1,0.2387209660070521,3
4,2025-04-13,COA,0.32502864675063253,0.0,0,1,0.10564362120854746,3
4,2025-04-14,COA,0.5063447022279532,0.0,1,0,0.25638495747431467,3
4,2025-04-14,COA,0.46040324231407836,1.0,0,0,0.29116466090515924,3
4,2025-04-14,COA,0.09978713189882008,0.0,0,1,0.009957471692592515,3
4,2025-04-14,COA,0.6810955781022419,1.0,1,1,0.10170003030594332,3
4,2025-04-15,COA,0.27859433012398443,1.0,0,0,0.5204261405292628,3
4,2025-04-15,COA,0.7837401540538222,1.0,1,1,0.04676832096866453,3
4,2025-04-15,COA,0.48834696698388536,0.0,0,1,0.23848276016236,3
4,2025-04-15,COA,0.5295661258054257,1.0,1,1,0.22130802998971655,3
4,2025-04-16,COA,0.54180361701155,0.0,1,0,0.2935511594067983,3
4,2025-04-16,COA,0.17249373077001537,0.0,0,1,0.029754087154958548,3
4,2025-04-16,COA,0.6590866015527808,0.0,1,0,0.434395148346394,3
4,2025-04-16,COA,0.5916060560597112,1.0,1,1,0.16678561344710377,3
4,2025-04-17,COA,0.6789713593437009,0.0,1,0,0.46100210680903303,3
4,2025-04-17,COA,0.7926745554649546,1.0,1,1,0.042983839951654196,3
4,2025-04-17,COA,0.31162029764461824,0.0,0,1,0.09710720990412046,3
4,2025-04-17,COA,0.5908065528311217,1.0,1,1,0.1674392772059496,3
4,2025-04-18,COA,0.5822576215856996,1.0,1,1,0.17450869472323655,3
4,2025-04-18,COA,0.44350179533999445,1.0,0,0,0.3096902517898094,3
4,2025-04-18,COA,0.4816519370382698,1.0,0,0,0.2686847143761778,3
4,2025-04-19,COA,0.3621309500848836,1.0,0,0,0.40687692483961324,3
